Vintage,Score,Drink Window,Description,Country,Region,Variety
1987,76,Past peak,"Delicate, ripe yet diluted  Château Lafite Rothschild Pauillac  Top-scoring wines (click for full tasting note):


Château La Lagune Haut-Médoc


Château Mouton-Rothschild Pauillac


Château Lafite Rothschild Pauillac",France,Bordeaux,Bordeaux/Vintage Reds Pre-1995
1986,95,Drink,"Powerful, intense and tannic; best in Médoc  Château Clerc Milon Pauillac  Top-scoring wines (click for full tasting note):


Château Mouton-Rothschild Pauillac


Château Le Pin Pomerol


Château Clerc Milon Pauillac",France,Bordeaux,Bordeaux/Vintage Reds Pre-1995
1985,93,Drink,"Balanced, supple and fruity; defines finesse  (See all ratings)",France,Bordeaux,Bordeaux/Vintage Reds Pre-1995
1984,70,Past peak,"Unripe, astringent and dry  (See all ratings)",France,Bordeaux,Bordeaux/Vintage Reds Pre-1995
1983,86,Drink,Rich and ripe in fruit and tannins; some overly tannic  (See all ratings),France,Bordeaux,Bordeaux/Vintage Reds Pre-1995
1982,95,Drink,Intense ripe fruit and generous in style; plenty of round tannins. St.-Julien and St.-Emilion stand out  (See all ratings),France,Bordeaux,Bordeaux/Vintage Reds Pre-1995
1981,82,Past peak,"Elegant, balanced and charming  (See all ratings)",France,Bordeaux,Bordeaux/Vintage Reds Pre-1995
1980,78,Past peak,Light  (See all ratings),France,Bordeaux,Bordeaux/Vintage Reds Pre-1995
1979,83,Drink,"Supple, fruity and delicate  (See all ratings)",France,Bordeaux,Bordeaux/Vintage Reds Pre-1995
1978,87,Drink,"Structured, fleshy and complex  (See all ratings)",France,Bordeaux,Bordeaux/Vintage Reds Pre-1995
1977,60,Past peak,"Poor, unripe and acidic  (See all ratings)",France,Bordeaux,Bordeaux/Vintage Reds Pre-1995
1976,80,Past peak,"Fat, ripe and lacking structure  (See all ratings)",France,Bordeaux,Bordeaux/Vintage Reds Pre-1995
1975,85,Drink,"Hard, tannic. Right Bank ripe, rich  (See all ratings)",France,Bordeaux,Bordeaux/Vintage Reds Pre-1995
1974,58,Past peak,Unripe and diluted  (See all ratings),France,Bordeaux,Bordeaux/Vintage Reds Pre-1995
1973,68,Past peak,"Light, diluted  (See all ratings)",France,Bordeaux,Bordeaux/Vintage Reds Pre-1995
1972,60,Past peak,"Acidic, light wines; not very interesting  (See all ratings)",France,Bordeaux,Bordeaux/Vintage Reds Pre-1995
2020,94,Drink or hold,"Early harvest of big, powerful reds; the best rival 2019 and 2016, with immediate appeal in the less famous areas  Domaine Clos de la Chapelle Corton-Bressandes  Top-scoring wines (click for full tasting note):


Lucien Le Moine Corton Clos du Roi


Lucien Le Moine Volnay Les Caillerets


Domaine Clos de la Chapelle Corton-Bressandes",France,Côtes de Beaune,Reds
2019,95,Drink or hold,"Best year since 2015 in the Côte de Beaune, with ripe, focused black fruit flavors, fine structure and freshness  Tollot-Beaut Corton-Bressandes  Top-scoring wines (click for full tasting note):


Tollot-Beaut Corton


Bouchard Père & Fils Corton Le Corton Domaine


Tollot-Beaut Corton-Bressandes",France,Côtes de Beaune,Reds
2018,92,Drink or hold,"Fresh, fruity reds, with immediate appeal; success in lesser-known appellations  Louis Latour Corton-Perrières  Top-scoring wines (click for full tasting note):


Arnoux Père & Fils Corton Le Rognet


Albert Bichot Corton Clos des Maréchaudes Domaine du Pavillon


Louis Latour Corton-Perrières",France,Côtes de Beaune,Reds
2017,93,Drink or hold,"A good crop following the previous vintage’s frost; fruity, balanced and charming reds  Domaine Faiveley Corton Clos des Cortons Faiveley  Top-scoring wines (click for full tasting note):


Bouchard Père & Fils Volnay Les Caillerets Ancienne Cuvée Carnot Domaine


Chandon de Briailles Corton-Bressandes


Domaine Faiveley Corton Clos des Cortons Faiveley",France,Côtes de Beaune,Reds
2016,94,Drink or hold,"The best are better than 2015, but tiny yields where frost hit; elegant and expressive, vibrant and juicy  Bruno Clavelier Corton Le Rognet Vieilles Vignes  Top-scoring wines (click for full tasting note):


Domaine Faiveley Corton Clos des Cortons Faiveley


Marquis d'Angerville Volnay Clos des Ducs


Bruno Clavelier Corton Le Rognet Vieilles Vignes",France,Côtes de Beaune,Reds
2015,95,Drink or hold,"Ripe and fleshy, with some assertive tannins in the wines from areas where hail struck the previous three vintages  Arnoux Père & Fils Corton Le Rognet  Top-scoring wines (click for full tasting note):


Jacques Prieur Corton-Bressandes


Tollot-Beaut Corton-Bressandes


Arnoux Père & Fils Corton Le Rognet",France,Côtes de Beaune,Reds
2014,92,Drink or hold,"Third consecutive year of hail resulted in low yields, yet the best are complex, juicy and ageable  Chandon de Briailles Corton-Bressandes  Top-scoring wines (click for full tasting note):


Domaine Clos de la Chapelle Corton Rognet


Marquis d'Angerville Volnay Clos des Ducs


Chandon de Briailles Corton-Bressandes",France,Côtes de Beaune,Reds
2013,89,Drink or hold,"A more challenging harvest due to hail, with tiny yields in the affected areas and some wines with dry tannins  Chandon de Briailles Corton Clos du Roi  Top-scoring wines (click for full tasting note):


Camille Giroud Volnay-Santenots


Domaine Faiveley Volnay Fremiets


Chandon de Briailles Corton Clos du Roi",France,Côtes de Beaune,Reds
2012,91,Drink or hold,"Less consistency than Côte de Nuits due to hail, resulting in less harmony and finesse overall, with some surprises  Tollot-Beaut Corton-Bressandes  Top-scoring wines (click for full tasting note):


Louis Latour Corton Domaine Latour


Taupenot-Merme Corton Rognet


Tollot-Beaut Corton-Bressandes",France,Côtes de Beaune,Reds
2011,90,Drink or hold,"Open and charming wines, full of pure aromas and flavors of red fruits and spice  (See all ratings)",France,Côtes de Beaune,Reds
2010,91,Drink or hold,"Fruity, ripe and vibrant; more rain than Côte de Nuits, so quality is less consistent  (See all ratings)",France,Côtes de Beaune,Reds
2009,93,Drink or hold,"Charming and fluid, with ripe, pure fruit; some wines soft, overripe for early drinking  (See all ratings)",France,Côtes de Beaune,Reds
2008,89,Drink,"Late harvest and small crop due to dehydration, botrytis; pure, vibrant reds at best, but inconsistent  (See all ratings)",France,Côtes de Beaune,Reds
2007,88,Drink,"Good ripeness and structure, especially in Beaune, Pommard and Volnay; some lack balance and depth  (See all ratings)",France,Côtes de Beaune,Reds
2006,88,Drink or hold,"Less density and fleshy textures than the Côte de Nuits, but vibrant and elegant  (See all ratings)",France,Côtes de Beaune,Reds
2005,95,Drink or hold,"Beautifully balanced, with vibrant structures; rich in fruit and tannins. The top wines will age well  (See all ratings)",France,Côtes de Beaune,Reds
2004,85,Drink,"Hail and oidium were major problems, but meticulous sorting yielded some fine, structured wines  (See all ratings)",France,Côtes de Beaune,Reds
2003,90,Drink,"Exotic, ripe and rich; some wines very high in alcohol  (See all ratings)",France,Côtes de Beaune,Reds
2002,92,Drink,Balanced and fruity; slightly less ripe than Côte de Nuits in some cases  (See all ratings),France,Côtes de Beaune,Reds
2001,84,Drink,"Good, but uneven due to rain and hail; stick to top producers  (See all ratings)",France,Côtes de Beaune,Reds
2000,81,Drink,"Uneven; rain resulted in light, soft reds  (See all ratings)",France,Côtes de Beaune,Reds
1999,90,Drink or hold,"One of Côte de Beaune's best vintages; ripe, succulent reds  (See all ratings)",France,Côtes de Beaune,Reds
1998,83,Drink,"Uneven due to frost, hail and rot; stick to top domaines  (See all ratings)",France,Côtes de Beaune,Reds
1997,83,Drink,"Soft, round wines for early consumption; low in natural acidity  (See all ratings)",France,Côtes de Beaune,Reds
1996,88,Drink,"Ripe, fresh, harmonious reds with vibrant structures; large crop produced some diluted wines  (See all ratings)",France,Côtes de Beaune,Reds
1995,83,Drink,"Many weak wines due to rain and rot; the best are solid, tannic  (See all ratings)",France,Côtes de Beaune,Reds
2020,96,Drink or hold,"An early harvest yielded big, powerful reds that deliver immediate gratification; the best are fresh and balanced  Jean Grivot Echézeaux  Top-scoring wines (click for full tasting note):


Domaine Faiveley Chambertin-Clos de Bèze


Domaine Faiveley Latricières-Chambertin


Jean Grivot Echézeaux",France,Côtes de Nuits,Reds
2019,97,Drink or hold,"A hot, dry summer; concentrated and complex and ageworthy reds, with black fruit flavors and excellent structure  Pierre Damoy Chambertin-Clos de Bèze  Top-scoring wines (click for full tasting note):


Domaine Faiveley Echézeaux En Orveaux


Lucien Le Moine Bonnes Mares


Pierre Damoy Chambertin-Clos de Bèze",France,Côtes de Nuits,Reds
2018,93,Drink or hold,"Big, dense, fleshy and fruity reds, with youthful appeal; some verge on jammy, but most show freshness and balance  Olivier Bernstein Chambertin  Top-scoring wines (click for full tasting note):


Lucien Le Moine Bonnes Mares


Méo-Camuzet Echézeaux Les Rouges du Bas


Olivier Bernstein Chambertin",France,Côtes de Nuits,Reds
2017,94,Drink or hold,"Balanced, fresh and approachable wines with purity; the best have the structure to age 20 years  G. Roumier Bonnes Mares  Top-scoring wines (click for full tasting note):


Armand Rousseau Chambertin


Domaine de l'Arlot Romanée St.-Vivant


G. Roumier Bonnes Mares",France,Côtes de Nuits,Reds
2016,97,Drink or hold,"Fresh, juicy and elegant, revealing dark fruit flavors; spring frosts drastically reduced yields in some areas  Pierre Gelin Chambertin-Clos de Bèze  Top-scoring wines (click for full tasting note):


Armand Rousseau Chambertin


Domaine Faiveley Chambertin-Clos de Bèze


Pierre Gelin Chambertin-Clos de Bèze",France,Côtes de Nuits,Reds
2015,98,Drink or hold,"Spring rains offset the hot, dry summer, resulting in lush and ripe yet balanced reds at all levels  Domaine de la Vougeraie Clos de Vougeot  Top-scoring wines (click for full tasting note):


Jean Grivot Richebourg


Armand Rousseau Chambertin


Domaine de la Vougeraie Clos de Vougeot",France,Côtes de Nuits,Reds
2014,95,Drink or hold,"Juicy cherry and berry flavors, with freshness and tension; lower alcohol. The best have added depth and energy  Armand Rousseau Mazy-Chambertin  Top-scoring wines (click for full tasting note):


Armand Rousseau Chambertin


Armand Rousseau Chambertin-Clos de Bèze


Armand Rousseau Mazy-Chambertin",France,Côtes de Nuits,Reds
2013,92,Drink or hold,"Low yields resulted in crisp, light-bodied Pinot Noirs with vibrant acidity and ripe fruit flavors  Château de la Tour Clos Vougeot Hommage à Jean Morin  Top-scoring wines (click for full tasting note):


Jacques Prieur Clos Vougeot


Pierre Damoy Chambertin-Clos de Bèze


Château de la Tour Clos Vougeot Hommage à Jean Morin",France,Côtes de Nuits,Reds
2012,95,Drink or hold,"Dense, concentrated reds, with pure fruit, elegance and freshness; the best should age very well  G. Roumier Musigny  Top-scoring wines (click for full tasting note):


Domaine Leroy Chambertin


Domaine Leroy Latricières-Chambertin


G. Roumier Musigny",France,Côtes de Nuits,Reds
2011,91,Drink or hold,"Elegant, perfumed wines, with vibrant acidity, pure fruit and juicy textures for near- to medium-term enjoyment  (See all ratings)",France,Côtes de Nuits,Reds
2010,94,Drink or hold,"Ripe fruit and tannins, with vivid acidity; vibrant, charming reds with balance and focus  (See all ratings)",France,Côtes de Nuits,Reds
2009,95,Drink or hold,"Charming and fluid, with ripe, pure fruit; some wines soft, overripe, for early drinking  (See all ratings)",France,Côtes de Nuits,Reds
2008,91,Drink,"Late harvest and small crop due to dehydration, botrytis; strict sorting necessary for vibrant reds with flesh and concentration  (See all ratings)",France,Côtes de Nuits,Reds
2007,90,Drink,"Meticulous sorting produced very good grapes; fruity, vivid, elegant reds for early to mid-term drinking. Good success in Gevrey-Chambertin  (See all ratings)",France,Côtes de Nuits,Reds
2006,92,Drink or hold,"A surprise; charming, fruity reds, with ripeness and balance. The best will age  (See all ratings)",France,Côtes de Nuits,Reds
2005,98,Drink or hold,"Ripe and dense, yet pure and balanced, with plenty of structure. A sensational vintage with longevity; ranks among the best since 1978  (See all ratings)",France,Côtes de Nuits,Reds
2004,88,Drink,"The best wines are elegant, pure and balanced, despite difficult growing conditions  (See all ratings)",France,Côtes de Nuits,Reds
2003,93,Drink,"Exotic, ripe and concentrated; the best are destined to be classics  (See all ratings)",France,Côtes de Nuits,Reds
2002,96,Drink,"Fresh, balanced and elegant. Successful from top to bottom; regional wines offer value  (See all ratings)",France,Côtes de Nuits,Reds
2001,89,Drink,"Lean, structured reds, yet ripe and potentially long-lived  (See all ratings)",France,Côtes de Nuits,Reds
2000,86,Drink or hold,"Top wines are ripe, soft and seductive; many lack structure  (See all ratings)",France,Côtes de Nuits,Reds
1999,92,Drink or hold,"Top-tier domaines offer juicy, rich and vibrant Pinots  (See all ratings)",France,Côtes de Nuits,Reds
1998,89,Drink,"Uneven due to frost, hail and rot; the best are ripe, dense and tannic  (See all ratings)",France,Côtes de Nuits,Reds
1997,85,Drink,"A warm year resulted in ripe, round Pinots low in natural acidity  (See all ratings)",France,Côtes de Nuits,Reds
1996,96,Drink,"Impressively vibrant and balanced, high in acidity, with focused berry flavors and ripe tannins. Large crop produced some diluted wines  (See all ratings)",France,Côtes de Nuits,Reds
1995,90,Drink or hold,"The best are elegant and firm, with ripe fruit and refined tannins  (See all ratings)",France,Côtes de Nuits,Reds
1994,81,Drink,"Uneven quality; tough and rustic  Philippe Charlopin-Parizot Clos St.-Denis  Top-scoring wines (click for full tasting note):


Dominique Laurent Echézeaux


Dominique Laurent Bonnes Mares


Philippe Charlopin-Parizot Clos St.-Denis",France,Burgundy,Burgundy/Older Vintage Reds
