Vintage,Score,Drink Window,Description,Country,Region,Variety
1998,85,Drink,"El Niño conditions resulted in a cool, wet harvest, but Pinot surprised, with some wines still showing well  (See all ratings)",United States,California,Pinot Noir
1997,83,Past peak,"Excellent in Sonoma, with ripe, forward wines; leaner elsewhere  (See all ratings)",United States,California,Pinot Noir
1996,82,Past peak,(See all ratings),United States,California,Pinot Noir
2021,91–94,NYR,"Intense June heat spike failed to dampen an otherwise excellent vintage; Pinots are perfumed, fresh and vibrant  Alexana Pinot Noir Eola-Amity Hills Zena Crown Vineyard  Top-scoring wines (click for full tasting note):


Beaux Frères Pinot Noir Ribbon Ridge The Upper Terrace


Alexana Pinot Noir Dundee Hills Single Clone Pommard


Alexana Pinot Noir Eola-Amity Hills Zena Crown Vineyard",United States,Oregon,Pinot Noir
2020,88,Drink or hold,"Promising vintage marred by wildfires; many wineries skipped the vintage entirely, fearing smoke taint. Trust your favorites  Norris Pinot Noir Ribbon Ridge  Top-scoring wines (click for full tasting note):


Holocene Pinot Noir Yamhill-Carlton Memorialis


Soléna Pinot Noir McMinnville Hyland Vineyard


Norris Pinot Noir Ribbon Ridge",United States,Oregon,Pinot Noir
2019,97,Drink or hold,"Warm summer tempered by rain near harvest led to classic Oregon-style Pinots, with bright structures and floral aromas  Bergström Pinot Noir Chehalem Mountains Silice  Top-scoring wines (click for full tasting note):


Résonance Pinot Noir Yamhill-Carlton Résonance Vineyard


Beaux Frères Pinot Noir Ribbon Ridge Sequitur


Bergström Pinot Noir Chehalem Mountains Silice",United States,Oregon,Pinot Noir
2018,94,Drink or hold,"Mid-September showers revived vines stressed by a warm, arid summer, laying the groundwork for excellent wines.  Drouhin Oregon Roserock Pinot Noir Eola-Amity Hills Zéphirine  Top-scoring wines (click for full tasting note):


Zena Crown Vineyard Pinot Noir Eola-Amity Hills Slope


Beaux Frères Pinot Noir Ribbon Ridge The Beaux Frères Vineyard


Drouhin Oregon Roserock Pinot Noir Eola-Amity Hills Zéphirine",United States,Oregon,Pinot Noir
2017,95,Drink or hold,"A cold, rainy spring and hot, dry summer led to potentially angular wines, but quality is generally high  Beaux Frères Pinot Noir Ribbon Ridge The Beaux Frères Vineyard  Top-scoring wines (click for full tasting note):


Beaux Frères Pinot Noir Ribbon Ridge The Upper Terrace


Alexana Pinot Noir Dundee Hills West Blocks Sedimentary Soils


Beaux Frères Pinot Noir Ribbon Ridge The Beaux Frères Vineyard",United States,Oregon,Pinot Noir
2016,97,Drink or hold,"Early and warm vintage with pockets of cool weather in summer, lending balance and elegance  Alexana Pinot Noir Dundee Hills West Blocks - Sedimentary Soils  Top-scoring wines (click for full tasting note):


Beaux Frères Pinot Noir Ribbon Ridge The Upper Terrace


Rose & Arrow Pinot Noir Chehalem Mountains 1st The Point Chehalem Highlands


Alexana Pinot Noir Dundee Hills West Blocks - Sedimentary Soils",United States,Oregon,Pinot Noir
2015,95,Drink or hold,"Large clusters helped to balance a hot vintage toward elegance  Colene Clemens Pinot Noir Chehalem Mountains Dopp Creek  Top-scoring wines (click for full tasting note):


Beaux Frères Pinot Noir Ribbon Ridge The Beaux Frères Vineyard


Beaux Frères Pinot Noir Ribbon Ridge The Upper Terrace


Colene Clemens Pinot Noir Chehalem Mountains Dopp Creek",United States,Oregon,Pinot Noir
